V1,V2,V3
-123.448744699525,49.4829268292683,93
-123.431782997972,49.4829268292683,148
-123.414821296419,49.4829268292683,117
-123.397859594866,49.4829268292683,71
-123.380897893313,49.4829268292683,8
-123.36393619176,49.4829268292683,60
-123.346974490207,49.4829268292683,226
-123.330012788654,49.4829268292683,291
-123.313051087101,49.4829268292683,74
-123.296089385547,49.4829268292683,-1
-123.279127683994,49.4829268292683,-1
-123.262165982441,49.4829268292683,-1
-123.245204280888,49.4829268292683,0
-123.228242579335,49.4829268292683,257
-123.211280877782,49.4829268292683,844
-123.194319176229,49.4829268292683,1152
-123.177357474676,49.4829268292683,1234
-123.160395773123,49.4829268292683,1096
-123.14343407157,49.4829268292683,1046
-123.126472370017,49.4829268292683,661
-123.109510668464,49.4829268292683,359
-123.092548966911,49.4829268292683,536
-123.075587265358,49.4829268292683,536
-123.058625563804,49.4829268292683,557
-123.041663862251,49.4829268292683,606
-123.024702160698,49.4829268292683,993
-123.007740459145,49.4829268292683,1229
-122.990778757592,49.4829268292683,1241
-122.973817056039,49.4829268292683,844
-122.956855354486,49.4829268292683,641
-122.939893652933,49.4829268292683,288
-122.92293195138,49.4829268292683,586
-122.905970249827,49.4829268292683,1074
-122.889008548274,49.4829268292683,574
-122.872046846721,49.4829268292683,55
-122.855085145168,49.4829268292683,477
-122.838123443615,49.4829268292683,711
-122.821161742061,49.4829268292683,674
-122.804200040508,49.4829268292683,1063
-122.787238338955,49.4829268292683,803
-122.770276637402,49.4829268292683,436
-122.753314935849,49.4829268292683,306
-122.736353234296,49.4829268292683,552
-122.719391532743,49.4829268292683,874
-122.70242983119,49.4829268292683,976
-122.685468129637,49.4829268292683,1333
-122.668506428084,49.4829268292683,1226
-122.651544726531,49.4829268292683,1273
-122.634583024978,49.4829268292683,745
-122.617621323425,49.4829268292683,751
-122.600659621872,49.4829268292683,1006
-122.583697920318,49.4829268292683,693
-122.566736218765,49.4829268292683,338
-122.549774517212,49.4829268292683,203
-122.532812815659,49.4829268292683,7
-122.515851114106,49.4829268292683,64
-122.498889412553,49.4829268292683,354
-122.481927711,49.4829268292683,440
-125.518072289,49.4658536585366,736
-125.501110587447,49.4658536585366,820
-125.484148885894,49.4658536585366,1075
-125.467187184341,49.4658536585366,927
-125.450225482788,49.4658536585366,826
-125.433263781235,49.4658536585366,575
-125.416302079682,49.4658536585366,672
-125.399340378128,49.4658536585366,872
-125.382378676575,49.4658536585366,819
-125.365416975022,49.4658536585366,752
-125.348455273469,49.4658536585366,538
-125.331493571916,49.4658536585366,604
-125.314531870363,49.4658536585366,805
-125.29757016881,49.4658536585366,607
-125.280608467257,49.4658536585366,1152
-125.263646765704,49.4658536585366,1042
-125.246685064151,49.4658536585366,782
-125.229723362598,49.4658536585366,622
-125.212761661045,49.4658536585366,521
-125.195799959492,49.4658536585366,462
-125.178838257939,49.4658536585366,395
-125.161876556385,49.4658536585366,383
-125.144914854832,49.4658536585366,361
-125.127953153279,49.4658536585366,383
-125.110991451726,49.4658536585366,384
-125.094029750173,49.4658536585366,349
-125.07706804862,49.4658536585366,358
-125.060106347067,49.4658536585366,397
-125.043144645514,49.4658536585366,437
-125.026182943961,49.4658536585366,562
-125.009221242408,49.4658536585366,804
-124.992259540855,49.4658536585366,1098
-124.975297839302,49.4658536585366,1290
-124.958336137749,49.4658536585366,1322
-124.941374436196,49.4658536585366,949
-124.924412734642,49.4658536585366,834
-124.907451033089,49.4658536585366,909
-124.890489331536,49.4658536585366,763
-124.873527629983,49.4658536585366,625
-124.85656592843,49.4658536585366,383
-124.839604226877,49.4658536585366,360
-124.822642525324,49.4658536585366,282
-124.805680823771,49.4658536585366,198
-124.788719122218,49.4658536585366,98
-124.771757420665,49.4658536585366,40
-124.754795719112,49.4658536585366,34
-124.737834017559,49.4658536585366,68
-124.720872316006,49.4658536585366,74
-124.703910614453,49.4658536585366,43
-124.686948912899,49.4658536585366,4
-124.669987211346,49.4658536585366,-3
-124.653025509793,49.4658536585366,-12
-124.63606380824,49.4658536585366,-24
-124.619102106687,49.4658536585366,-48
-124.602140405134,49.4658536585366,-78
-124.585178703581,49.4658536585366,-106
-124.568217002028,49.4658536585366,-140
-124.551255300475,49.4658536585366,-161
-124.534293598922,49.4658536585366,-177
-124.517331897369,49.4658536585366,-188
-124.500370195816,49.4658536585366,-223
-124.483408494263,49.4658536585366,-264
-124.46644679271,49.4658536585366,-287
-124.449485091156,49.4658536585366,-318
-124.432523389603,49.4658536585366,-324
-124.41556168805,49.4658536585366,-329
-124.398599986497,49.4658536585366,-330
-124.381638284944,49.4658536585366,-337
-124.364676583391,49.4658536585366,-299
-124.347714881838,49.4658536585366,-359
-124.330753180285,49.4658536585366,-192
-124.313791478732,49.4658536585366,-52
-124.296829777179,49.4658536585366,-11
-124.279868075626,49.4658536585366,-41
-124.262906374073,49.4658536585366,-14
-124.24594467252,49.4658536585366,-34
-124.228982970966,49.4658536585366,-3
-124.212021269413,49.4658536585366,-3
-124.19505956786,49.4658536585366,61
-124.178097866307,49.4658536585366,62
-124.161136164754,49.4658536585366,34
-124.144174463201,49.4658536585366,-93
-124.127212761648,49.4658536585366,-145
-124.110251060095,49.4658536585366,-130
-124.093289358542,49.4658536585366,-165
-124.076327656989,49.4658536585366,-176
-124.059365955436,49.4658536585366,-202
-124.042404253883,49.4658536585366,-220
-124.02544255233,49.4658536585366,-245
-124.008480850777,49.4658536585366,-251
-123.991519149223,49.4658536585366,-219
-123.97455744767,49.4658536585366,-169
-123.957595746117,49.4658536585366,-222
-123.940634044564,49.4658536585366,-187
-123.923672343011,49.4658536585366,-224
-123.906710641458,49.4658536585366,-193
-123.889748939905,49.4658536585366,-205
-123.872787238352,49.4658536585366,-122
-123.855825536799,49.4658536585366,-58
-123.838863835246,49.4658536585366,-32
-123.821902133693,49.4658536585366,-22
-123.80494043214,49.4658536585366,-9
-123.787978730587,49.4658536585366,-22
-123.771017029034,49.4658536585366,-19
-123.75405532748,49.4658536585366,-26
-123.737093625927,49.4658536585366,9
-123.720131924374,49.4658536585366,41
-123.703170222821,49.4658536585366,75
-123.686208521268,49.4658536585366,142
-123.669246819715,49.4658536585366,192
-123.652285118162,49.4658536585366,226
-123.635323416609,49.4658536585366,275
-123.618361715056,49.4658536585366,354
-123.601400013503,49.4658536585366,467
-123.58443831195,49.4658536585366,591
-123.567476610397,49.4658536585366,858
-123.550514908844,49.4658536585366,1034
-123.53355320729,49.4658536585366,822
-123.516591505737,49.4658536585366,632
-123.499629804184,49.4658536585366,222
-123.482668102631,49.4658536585366,89
-123.465706401078,49.4658536585366,7
-123.448744699525,49.4658536585366,-1
-123.431782997972,49.4658536585366,72
-123.414821296419,49.4658536585366,-10
-123.397859594866,49.4658536585366,3
-123.380897893313,49.4658536585366,-11
-123.36393619176,49.4658536585366,54
-123.346974490207,49.4658536585366,116
-123.330012788654,49.4658536585366,64
-123.313051087101,49.4658536585366,1
-123.296089385547,49.4658536585366,-1
-123.279127683994,49.4658536585366,-13
-123.262165982441,49.4658536585366,-1
-123.245204280888,49.4658536585366,-12
-123.228242579335,49.4658536585366,219
-123.211280877782,49.4658536585366,806
-123.194319176229,49.4658536585366,1225
-123.177357474676,49.4658536585366,1168
-123.160395773123,49.4658536585366,1056
-123.14343407157,49.4658536585366,929
-123.126472370017,49.4658536585366,830
-123.109510668464,49.4658536585366,420
-123.092548966911,49.4658536585366,372
-123.075587265358,49.4658536585366,844
-123.058625563804,49.4658536585366,1036
-123.041663862251,49.4658536585366,928
-123.024702160698,49.4658536585366,979
-123.007740459145,49.4658536585366,1165
-122.990778757592,49.4658536585366,1020
-122.973817056039,49.4658536585366,841
-122.956855354486,49.4658536585366,337
-122.939893652933,49.4658536585366,445
-122.92293195138,49.4658536585366,978
-122.905970249827,49.4658536585366,970
-122.889008548274,49.4658536585366,762
-122.872046846721,49.4658536585366,175
-122.855085145168,49.4658536585366,33
-122.838123443615,49.4658536585366,365
-122.821161742061,49.4658536585366,809
-122.804200040508,49.4658536585366,1101
-122.787238338955,49.4658536585366,977
-122.770276637402,49.4658536585366,446
-122.753314935849,49.4658536585366,243
-122.736353234296,49.4658536585366,670
-122.719391532743,49.4658536585366,994
-122.70242983119,49.4658536585366,1140
-122.685468129637,49.4658536585366,1176
-122.668506428084,49.4658536585366,903
-122.651544726531,49.4658536585366,906
-122.634583024978,49.4658536585366,661
-122.617621323425,49.4658536585366,694
-122.600659621872,49.4658536585366,1038
-122.583697920318,49.4658536585366,659
-122.566736218765,49.4658536585366,393
-122.549774517212,49.4658536585366,54
-122.532812815659,49.4658536585366,2
-122.515851114106,49.4658536585366,49
-122.498889412553,49.4658536585366,596
-122.481927711,49.4658536585366,888
-125.518072289,49.4487804878049,1200
-125.501110587447,49.4487804878049,723
-125.484148885894,49.4487804878049,413
-125.467187184341,49.4487804878049,408
-125.450225482788,49.4487804878049,268
-125.433263781235,49.4487804878049,514
-125.416302079682,49.4487804878049,535
-125.399340378128,49.4487804878049,980
-125.382378676575,49.4487804878049,1104
-125.365416975022,49.4487804878049,801
-125.348455273469,49.4487804878049,666
-125.331493571916,49.4487804878049,686
-125.314531870363,49.4487804878049,520
-125.29757016881,49.4487804878049,853
-125.280608467257,49.4487804878049,933
-125.263646765704,49.4487804878049,521
-125.246685064151,49.4487804878049,536
-125.229723362598,49.4487804878049,776
-125.212761661045,49.4487804878049,778
-125.195799959492,49.4487804878049,724
-125.178838257939,49.4487804878049,556
-125.161876556385,49.4487804878049,405
-125.144914854832,49.4487804878049,414
-125.127953153279,49.4487804878049,373
-125.110991451726,49.4487804878049,403
-125.094029750173,49.4487804878049,384
-125.07706804862,49.4487804878049,335
-125.060106347067,49.4487804878049,349
-125.043144645514,49.4487804878049,366
-125.026182943961,49.4487804878049,401
-125.009221242408,49.4487804878049,461
-124.992259540855,49.4487804878049,651
-124.975297839302,49.4487804878049,984
-124.958336137749,49.4487804878049,1289
-124.941374436196,49.4487804878049,1163
-124.924412734642,49.4487804878049,1174
-124.907451033089,49.4487804878049,1272
-124.890489331536,49.4487804878049,1037
-124.873527629983,49.4487804878049,597
-124.85656592843,49.4487804878049,555
-124.839604226877,49.4487804878049,530
-124.822642525324,49.4487804878049,390
-124.805680823771,49.4487804878049,351
-124.788719122218,49.4487804878049,290
-124.771757420665,49.4487804878049,161
-124.754795719112,49.4487804878049,110
-124.737834017559,49.4487804878049,104
-124.720872316006,49.4487804878049,124
-124.703910614453,49.4487804878049,110
-124.686948912899,49.4487804878049,76
-124.669987211346,49.4487804878049,25
-124.653025509793,49.4487804878049,-4
-124.63606380824,49.4487804878049,-17
-124.619102106687,49.4487804878049,-39
-124.602140405134,49.4487804878049,-56
-124.585178703581,49.4487804878049,-60
-124.568217002028,49.4487804878049,-91
-124.551255300475,49.4487804878049,-124
-124.534293598922,49.4487804878049,-145
-124.517331897369,49.4487804878049,-158
-124.500370195816,49.4487804878049,-179
-124.483408494263,49.4487804878049,-207
-124.46644679271,49.4487804878049,-235
-124.449485091156,49.4487804878049,-262
-124.432523389603,49.4487804878049,-286
-124.41556168805,49.4487804878049,-302
-124.398599986497,49.4487804878049,-311
-124.381638284944,49.4487804878049,-328
-124.364676583391,49.4487804878049,-351
-124.347714881838,49.4487804878049,-364
-124.330753180285,49.4487804878049,-294
-124.313791478732,49.4487804878049,-222
-124.296829777179,49.4487804878049,-196
-124.279868075626,49.4487804878049,-205
-124.262906374073,49.4487804878049,-186
-124.24594467252,49.4487804878049,-147
-124.228982970966,49.4487804878049,-33
-124.212021269413,49.4487804878049,-26
-124.19505956786,49.4487804878049,5
-124.178097866307,49.4487804878049,-8
-124.161136164754,49.4487804878049,-43
-124.144174463201,49.4487804878049,-159
-124.127212761648,49.4487804878049,-205
-124.110251060095,49.4487804878049,-199
-124.093289358542,49.4487804878049,-197
-124.076327656989,49.4487804878049,-202
-124.059365955436,49.4487804878049,-215
-124.042404253883,49.4487804878049,-230
-124.02544255233,49.4487804878049,-243
-124.008480850777,49.4487804878049,-251
-123.991519149223,49.4487804878049,-256
-123.97455744767,49.4487804878049,-248
-123.957595746117,49.4487804878049,-253
-123.940634044564,49.4487804878049,-248
-123.923672343011,49.4487804878049,-257
-123.906710641458,49.4487804878049,-252
-123.889748939905,49.4487804878049,-241
-123.872787238352,49.4487804878049,-197
-123.855825536799,49.4487804878049,-144
-123.838863835246,49.4487804878049,-98
-123.821902133693,49.4487804878049,-70
-123.80494043214,49.4487804878049,-61
-123.787978730587,49.4487804878049,-66
-123.771017029034,49.4487804878049,-65
-123.75405532748,49.4487804878049,-44
-123.737093625927,49.4487804878049,-17
-123.720131924374,49.4487804878049,-1
-123.703170222821,49.4487804878049,3
-123.686208521268,49.4487804878049,9
-123.669246819715,49.4487804878049,51
-123.652285118162,49.4487804878049,101
-123.635323416609,49.4487804878049,141
-123.618361715056,49.4487804878049,217
-123.601400013503,49.4487804878049,319
-123.58443831195,49.4487804878049,435
-123.567476610397,49.4487804878049,632
-123.550514908844,49.4487804878049,719
-123.53355320729,49.4487804878049,568
-123.516591505737,49.4487804878049,371
-123.499629804184,49.4487804878049,184
-123.482668102631,49.4487804878049,79
-123.465706401078,49.4487804878049,1
-123.448744699525,49.4487804878049,1
-123.431782997972,49.4487804878049,3
-123.414821296419,49.4487804878049,-1
-123.397859594866,49.4487804878049,-1
-123.380897893313,49.4487804878049,-1
-123.36393619176,49.4487804878049,51
-123.346974490207,49.4487804878049,3
-123.330012788654,49.4487804878049,-1
-123.313051087101,49.4487804878049,-1
-123.296089385547,49.4487804878049,-1
-123.279127683994,49.4487804878049,-1
-123.262165982441,49.4487804878049,12
-123.245204280888,49.4487804878049,-1
-123.228242579335,49.4487804878049,191
-123.211280877782,49.4487804878049,875
-123.194319176229,49.4487804878049,1154
-123.177357474676,49.4487804878049,765
-123.160395773123,49.4487804878049,595
-123.14343407157,49.4487804878049,820
-123.126472370017,49.4487804878049,759
-123.109510668464,49.4487804878049,325
-123.092548966911,49.4487804878049,539
-123.075587265358,49.4487804878049,719
-123.058625563804,49.4487804878049,1109
-123.041663862251,49.4487804878049,828
-123.024702160698,49.4487804878049,911
-123.007740459145,49.4487804878049,1211
-122.990778757592,49.4487804878049,1067
-122.973817056039,49.4487804878049,556
-122.956855354486,49.4487804878049,265
-122.939893652933,49.4487804878049,861
-122.92293195138,49.4487804878049,1159
-122.905970249827,49.4487804878049,1097
-122.889008548274,49.4487804878049,728
-122.872046846721,49.4487804878049,264
-122.855085145168,49.4487804878049,21
-122.838123443615,49.4487804878049,270
-122.821161742061,49.4487804878049,933
-122.804200040508,49.4487804878049,1004
-122.787238338955,49.4487804878049,984
-122.770276637402,49.4487804878049,433
-122.753314935849,49.4487804878049,162
-122.736353234296,49.4487804878049,598
-122.719391532743,49.4487804878049,870
-122.70242983119,49.4487804878049,1063
-122.685468129637,49.4487804878049,1161
-122.668506428084,49.4487804878049,961
-122.651544726531,49.4487804878049,926
-122.634583024978,49.4487804878049,461
-122.617621323425,49.4487804878049,525
-122.600659621872,49.4487804878049,1153
-122.583697920318,49.4487804878049,494
-122.566736218765,49.4487804878049,180
-122.549774517212,49.4487804878049,8
-122.532812815659,49.4487804878049,2
-122.515851114106,49.4487804878049,48
-122.498889412553,49.4487804878049,505
-122.481927711,49.4487804878049,851
-125.518072289,49.4317073170732,636
-125.501110587447,49.4317073170732,680
-125.484148885894,49.4317073170732,692
-125.467187184341,49.4317073170732,953
-125.450225482788,49.4317073170732,551
-125.433263781235,49.4317073170732,215
-125.416302079682,49.4317073170732,322
-125.399340378128,49.4317073170732,884
-125.382378676575,49.4317073170732,1031
-125.365416975022,49.4317073170732,879
-125.348455273469,49.4317073170732,688
-125.331493571916,49.4317073170732,582
-125.314531870363,49.4317073170732,568
-125.29757016881,49.4317073170732,481
-125.280608467257,49.4317073170732,506
-125.263646765704,49.4317073170732,513
-125.246685064151,49.4317073170732,860
-125.229723362598,49.4317073170732,1013
-125.212761661045,49.4317073170732,862
-125.195799959492,49.4317073170732,765
-125.178838257939,49.4317073170732,749
-125.161876556385,49.4317073170732,423
-125.144914854832,49.4317073170732,259
-125.127953153279,49.4317073170732,415
-125.110991451726,49.4317073170732,280
-125.094029750173,49.4317073170732,258
-125.07706804862,49.4317073170732,256
-125.060106347067,49.4317073170732,277
-125.043144645514,49.4317073170732,295
-125.026182943961,49.4317073170732,309
-125.009221242408,49.4317073170732,306
-124.992259540855,49.4317073170732,350
-124.975297839302,49.4317073170732,437
-124.958336137749,49.4317073170732,689
-124.941374436196,49.4317073170732,1119
-124.924412734642,49.4317073170732,1321
-124.907451033089,49.4317073170732,929
-124.890489331536,49.4317073170732,716
-124.873527629983,49.4317073170732,477
-124.85656592843,49.4317073170732,668
-124.839604226877,49.4317073170732,944
-124.822642525324,49.4317073170732,707
-124.805680823771,49.4317073170732,534
-124.788719122218,49.4317073170732,444
-124.771757420665,49.4317073170732,357
-124.754795719112,49.4317073170732,235
-124.737834017559,49.4317073170732,209
-124.720872316006,49.4317073170732,171
-124.703910614453,49.4317073170732,133
-124.686948912899,49.4317073170732,104
-124.669987211346,49.4317073170732,73
-124.653025509793,49.4317073170732,37
-124.63606380824,49.4317073170732,-1
-124.619102106687,49.4317073170732,-18
-124.602140405134,49.4317073170732,-44
-124.585178703581,49.4317073170732,-14
-124.568217002028,49.4317073170732,-57
-124.551255300475,49.4317073170732,-98
-124.534293598922,49.4317073170732,-118
-124.517331897369,49.4317073170732,-123
-124.500370195816,49.4317073170732,-124
-124.483408494263,49.4317073170732,-130
-124.46644679271,49.4317073170732,-166
-124.449485091156,49.4317073170732,-194
-124.432523389603,49.4317073170732,-228
-124.41556168805,49.4317073170732,-242
-124.398599986497,49.4317073170732,-230
-124.381638284944,49.4317073170732,-228
-124.364676583391,49.4317073170732,-269
-124.347714881838,49.4317073170732,-284
-124.330753180285,49.4317073170732,-297
-124.313791478732,49.4317073170732,-308
-124.296829777179,49.4317073170732,-298
-124.279868075626,49.4317073170732,-321
-124.262906374073,49.4317073170732,-298
-124.24594467252,49.4317073170732,-299
-124.228982970966,49.4317073170732,-270
-124.212021269413,49.4317073170732,-311
